statnm,linenm,minutes,lng,lat,within30,within60
의왕,서울1호선,62.5,126.94808384267559,37.320310194975306,0,0
석수,서울1호선,62.5,126.90230098498377,37.43525797638321,0,0
하남시청,서울5호선,62.9,127.20652446576999,37.54187520306419,0,0
응암,서울6호선,63.3,126.91550893271139,37.59838760929528,0,0
광운대,서울1호선,63.4,127.06174689099623,37.623729816733,0,0
쌍문,서울4호선,63.4,127.03462769808984,37.64838115853124,0,0
종암사거리,동북선,63.4,127.03238414828616,37.60286004773038,0,0
전대_에버랜드,용인경전철,63.7,127.21950054207815,37.28541788165613,0,0
증산,서울6호선,63.7,126.90953013634258,37.583775585482485,0,0
장위,동북선,63.7,127.03758283501755,37.61296613146705,0,0
삼양,우이신설경전철,63.8,127.01815714096305,37.626858057683194,0,0
우이천,동북선,63.8,127.05032431192842,37.62463275991327,0,0
마곡,서울5호선,63.9,126.82467499758694,37.560185123153246,0,0
세마,서울1호선,64.0,127.04348745015096,37.18717178773829,0,0
은행사거리,동북선,64.0,127.07673840671522,37.650679933927016,0,0
구산,서울6호선,64.1,126.91731396392704,37.61125772628649,0,0
산본,서울4호선,64.2,126.93311673818776,37.358075048460954,0,0
광명,서울1호선,64.5,126.8853967036718,37.417778311205396,0,0
야목,수인선,64.5,126.88382360982709,37.261360434800835,0,0
소사,서울1호선,64.5,126.79573551872575,37.482806510437655,0,0
개화산,서울5호선,64.5,126.80679309089922,37.572527592108514,0,0
까치울,서울7호선,64.6,126.81119913841704,37.506232901186856,0,0
송정,서울5호선,64.8,126.81236580684394,37.561170388769554,0,0
새절,서울6호선,64.9,126.91358993350879,37.59083692979173,0,0
관악,서울1호선,65.0,126.90851780967427,37.41954901729251,0,0
도봉산,서울7호선,65.1,127.04639098634294,37.68959877628606,0,0
삼송,서울3호선,65.3,126.89549454506391,37.653152567101166,0,0
종암,동북선,65.3,127.03565087628155,37.59559310723145,0,0
수색,경의중앙선,65.3,126.89548394903996,37.580959550149295,0,0
서동탄,서울1호선,65.5,127.0519099950957,37.195635055757435,0,0
노원자동차운전학원,동북선,65.5,127.07814746360896,37.656175149848046,0,0
북서울꿈의숲,동북선,65.5,127.04473016379455,37.61956093428199,0,0
화계,우이신설경전철,65.5,127.01749721846427,37.634033034809526,0,0
하남검단산,서울5호선,65.5,127.22341044001391,37.53976294281774,0,0
창동,서울4호선,65.9,127.04790976660455,37.65322782584169,0,0
당정,서울1호선,66.0,126.94833402499175,37.34363747540078,0,0
방화,서울5호선,66.0,126.81281690315659,37.57755849775306,0,0
수리산,서울4호선,66.2,126.92542337203524,37.35015662168507,0,0
도농,경의중앙선,66.4,127.16121817699668,37.60877465682026,0,0
